Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
1,Derrick Henry,2019,25,2-45,TEN,NFL,15,15,303,1540,5.08,16,102.7
2,Aaron Jones,2019,25,5-182,GNB,NFL,16,16,236,1084,4.59,16,67.8
3,Christian McCaffrey,2019,23,1-8,CAR,NFL,16,16,287,1387,4.83,15,86.7
4,Dalvin Cook,2019,24,2-41,MIN,NFL,14,14,250,1135,4.54,13,81.1
5,Ezekiel Elliott,2019,24,1-4,DAL,NFL,16,16,301,1357,4.51,12,84.8
6,Todd Gurley,2019,25,1-10,LAR,NFL,15,15,223,857,3.84,12,57.1
7,Mark Ingram,2019,30,1-28,BAL,NFL,15,15,202,1018,5.04,10,67.9
8,Nick Chubb,2019,24,2-35,CLE,NFL,16,16,298,1494,5.01,8,93.4
9,Kenyan Drake,2019,25,3-73,2TM,NFL,14,10,170,817,4.81,8,58.4
10,Melvin Gordon,2019,26,1-15,LAC,NFL,12,11,162,612,3.78,8,51.0
11,Marlon Mack,2019,23,4-143,IND,NFL,14,12,247,1091,4.42,8,77.9
12,Raheem Mostert,2019,27,,SFO,NFL,16,0,137,772,5.64,8,48.3
13,Chris Carson,2019,25,7-249,SEA,NFL,15,15,278,1230,4.42,7,82.0
14,Josh Jacobs,2019,21,1-24,OAK,NFL,13,13,242,1150,4.75,7,88.5
15,Phillip Lindsay,2019,25,,DEN,NFL,16,16,224,1011,4.51,7,63.2
16,Sony Michel,2019,24,1-31,NWE,NFL,16,14,247,912,3.69,7,57.0
17,Peyton Barber,2019,25,,TAM,NFL,16,7,154,470,3.05,6,29.4
18,Saquon Barkley,2019,22,1-2,NYG,NFL,13,13,217,1003,4.62,6,77.2
19,Tevin Coleman,2019,26,3-73,SFO,NFL,14,11,137,544,3.97,6,38.9
20,Jordan Howard,2019,25,5-150,PHI,NFL,10,4,119,525,4.41,6,52.5
21,Carlos Hyde,2019,29,2-57,HOU,NFL,16,14,245,1070,4.37,6,66.9
22,Ronald Jones,2019,22,2-38,TAM,NFL,16,9,172,724,4.21,6,45.3
23,David Montgomery,2019,22,3-73,CHI,NFL,16,8,242,889,3.67,6,55.6
24,Malcolm Brown,2019,26,,LAR,NFL,14,1,69,255,3.70,5,18.2
25,Alvin Kamara,2019,24,3-67,NOR,NFL,14,9,171,797,4.66,5,56.9
26,Joe Mixon,2019,23,2-48,CIN,NFL,16,15,278,1137,4.09,5,71.1
27,Latavius Murray,2019,29,6-181,NOR,NFL,16,8,146,637,4.36,5,39.8
28,Adrian Peterson,2019,34,1-7,WAS,NFL,15,15,211,898,4.26,5,59.9
29,Boston Scott,2019,24,6-201,PHI,NFL,11,2,61,245,4.02,5,22.3
30,Damien Williams,2019,27,,KAN,NFL,11,6,111,498,4.49,5,45.3
31,James Conner,2019,24,3-105,PIT,NFL,10,10,116,464,4.00,4,46.4
32,Chase Edmonds,2019,23,4-134,ARI,NFL,13,2,60,303,5.05,4,23.3
33,LeSean McCoy,2019,31,2-53,KAN,NFL,13,9,101,465,4.60,4,35.8
34,Qadree Ollison,2019,23,5-152,ATL,NFL,8,0,22,50,2.27,4,6.3
35,Jeff Wilson,2019,24,,SFO,NFL,10,0,27,105,3.89,4,10.5
36,Kalen Ballage,2019,24,4-131,MIA,NFL,12,6,74,135,1.82,3,11.3
37,Le'Veon Bell,2019,27,2-48,NYJ,NFL,15,15,245,789,3.22,3,52.6
38,Brandon Bolden,2019,29,,NWE,NFL,15,2,15,68,4.53,3,4.5
39,Mike Boone,2019,24,,MIN,NFL,16,2,49,273,5.57,3,17.1
