Year,Player,Tm,Pos
2019,Lamar Jackson\JackLa00,Baltimore Ravens,QB
2018,Patrick Mahomes\MahoPa00,Kansas City Chiefs,QB
2017,Tom Brady\BradTo00,New England Patriots,QB
2016,Matt Ryan\RyanMa00,Atlanta Falcons,QB
2015,Cam Newton\NewtCa00,Carolina Panthers,QB
2014,Aaron Rodgers\RodgAa00,Green Bay Packers,QB
2013,Peyton Manning\MannPe00,Denver Broncos,QB
2012,Adrian Peterson\PeteAd01,Minnesota Vikings,RB
2011,Aaron Rodgers\RodgAa00,Green Bay Packers,QB
2010,Tom Brady\BradTo00,New England Patriots,QB
2009,Peyton Manning\MannPe00,Indianapolis Colts,QB
2008,Peyton Manning\MannPe00,Indianapolis Colts,QB
2007,Tom Brady\BradTo00,New England Patriots,QB
2006,LaDainian Tomlinson\TomlLa00,San Diego Chargers,RB
2005,Shaun Alexander\AlexSh00,Seattle Seahawks,RB
2004,Peyton Manning\MannPe00,Indianapolis Colts,QB
2003,Steve McNair\McNaSt00,Tennessee Titans,QB
2003,Peyton Manning\MannPe00,Indianapolis Colts,QB
2002,Rich Gannon\GannRi00,Oakland Raiders,QB
2001,Kurt Warner\WarnKu00,St. Louis Rams,QB
2000,Marshall Faulk\FaulMa00,St. Louis Rams,RB
1999,Kurt Warner\WarnKu00,St. Louis Rams,QB
1998,Terrell Davis\DaviTe00,Denver Broncos,RB
1997,Barry Sanders\SandBa00,Detroit Lions,RB
1997,Brett Favre\FavrBr00,Green Bay Packers,QB
1996,Brett Favre\FavrBr00,Green Bay Packers,QB
1995,Brett Favre\FavrBr00,Green Bay Packers,QB
1994,Steve Young\YounSt00,San Francisco 49ers,QB
1993,Emmitt Smith\SmitEm00,Dallas Cowboys,RB
1992,Steve Young\YounSt00,San Francisco 49ers,QB
1991,Thurman Thomas\ThomTh00,Buffalo Bills,RB
1990,Joe Montana\MontJo01,San Francisco 49ers,QB
1989,Joe Montana\MontJo01,San Francisco 49ers,QB
1988,Boomer Esiason\EsiaBo00,Cincinnati Bengals,QB
1987,John Elway\ElwaJo00,Denver Broncos,QB
1986,Lawrence Taylor\TaylLa00,New York Giants,LB
1985,Marcus Allen\AlleMa00,Los Angeles Raiders,RB
1984,Dan Marino\MariDa00,Miami Dolphins,QB
1983,Joe Theismann\TheiJo00,Washington Redskins,QB
1982,Mark Moseley\moselmar01,Washington Redskins,K
1981,Ken Anderson\AndeKe00,Cincinnati Bengals,QB
1980,Brian Sipe\SipeBr00,Cleveland Browns,QB
1979,Earl Campbell\CampEa00,Houston Oilers,RB
1978,Terry Bradshaw\BradTe00,Pittsburgh Steelers,QB
1977,Walter Payton\PaytWa00,Chicago Bears,RB
1976,Bert Jones\JoneBe00,Baltimore Colts,QB
1975,Fran Tarkenton\TarkFr00,Minnesota Vikings,QB
1974,Ken Stabler\StabKe00,Oakland Raiders,QB
1973,O.J. Simpson\SimpO.00,Buffalo Bills,RB
1972,Larry Brown\BrowLa01,Washington Redskins,RB
1971,Alan Page\PageAl00,Minnesota Vikings,DT
1970,John Brodie\BrodJo00,San Francisco 49ers,QB
1969,Roman Gabriel\GabrRo00,Los Angeles Rams,QB
1968,Earl Morrall\MorrEa00,Baltimore Colts,QB
1967,Johnny Unitas\UnitJo00,Baltimore Colts,QB
1966,Bart Starr\StarBa00,Green Bay Packers,QB
1965,Jim Brown\BrowJi00,Cleveland Browns,RB
1964,Johnny Unitas\UnitJo00,Baltimore Colts,QB
1963,Y.A. Tittle\TittY.00,New York Giants,QB
1962,Jim Taylor\TaylJi00,Green Bay Packers,RB
1961,Paul Hornung\HornPa00,Green Bay Packers,RB
1960,Norm Van Brocklin\VanBNo00,Philadelphia Eagles,QB
1959,Johnny Unitas\UnitJo00,Baltimore Colts,QB
1958,Jim Brown\BrowJi00,Cleveland Browns,RB
1957,Jim Brown\BrowJi00,Cleveland Browns,RB
