Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
2012,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16,348,2097,6.03,12,131.1,51,40,217,5.43,1,13.6,78.4%,4.25
2006,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16,348,1815,5.22,28,113.4,80,56,508,9.07,3,31.8,70.0%,6.35
2005,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16,370,1880,5.08,27,117.5,29,15,78,5.20,1,4.9,51.7%,2.69
2000,Marshall Faulk*\FaulMa00,2000,27,1-2,STL,NFL,14,14,253,1359,5.37,18,97.1,113,81,830,10.25,8,59.3,71.7%,7.35
1998,Terrell Davis*\DaviTe00,1998,26,6-196,DEN,NFL,16,16,392,2008,5.12,21,125.5,38,25,217,8.68,2,13.6,65.8%,5.71
1997,Barry Sanders*\SandBa00,1997,29,1-3,DET,NFL,16,16,335,2053,6.13,11,128.3,50,33,305,9.24,3,19.1,66.0%,6.10
1993,Emmitt Smith*\SmitEm00,1993,24,1-17,DAL,NFL,14,13,283,1486,5.25,9,106.1,65,57,414,7.26,1,29.6,87.7%,6.37
1991,Thurman Thomas*\ThomTh00,1991,25,2-40,BUF,NFL,15,15,288,1407,4.89,7,93.8,,62,631,10.18,5,42.1,,
1985,Marcus Allen*\AlleMa00,1985,25,1-10,RAI,NFL,16,16,380,1759,4.63,11,109.9,,67,555,8.28,3,34.7,,
1979,Earl Campbell*\CampEa00,1979,24,1-1,HOU,NFL,16,16,368,1697,4.61,19,106.1,,16,94,5.88,0,5.9,,
1977,Walter Payton*\PaytWa00,1977,23,1-4,CHI,NFL,14,14,339,1852,5.46,14,132.3,,27,269,9.96,2,19.2,,
1973,O.J. Simpson*\SimpO.00,1973,26,1-1,BUF,NFL,14,14,332,2003,6.03,12,143.1,,6,70,11.67,0,5.0,,
1972,Larry Brown\BrowLa01,1972,25,8-191,WAS,NFL,12,12,285,1216,4.27,8,101.3,,32,473,14.78,4,39.4,,
1965,Jim Brown*\BrowJi00,1965,29,1-6,CLE,NFL,14,14,289,1544,5.34,17,110.3,,34,328,9.65,4,23.4,,
1962,Jim Taylor*\TaylJi00,1962,27,2-15,GNB,NFL,14,14,272,1474,5.42,19,105.3,,22,106,4.82,0,7.6,,
**1961,Paul Lowe\LowePa00,1961,25,,SDG,AFL,14,14,175,767,4.38,9,54.8,,17,103,6.06,0,7.4,,
1958,Jim Brown*\BrowJi00,1958,22,1-6,CLE,NFL,12,12,257,1527,5.94,17,127.3,,16,138,8.63,1,11.5,,
1957,Jim Brown*\BrowJi00,1957,21,1-6,CLE,NFL,12,12,202,942,4.66,9,78.5,,16,55,3.44,1,4.6,,
