Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt
1,Eric Dickerson*\DickEr00,1984,24,1-2,RAM,NFL,16,16,379,2105,5.55,14,131.6,,21,139,6.62,0,8.7,,
2,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16,348,2097,6.03,12,131.1,51,40,217,5.43,1,13.6,78.4%,4.25
3,Jamal Lewis\LewiJa00,2003,24,1-5,BAL,NFL,16,16,387,2066,5.34,14,129.1,38,26,205,7.88,0,12.8,68.4%,5.39
4,Barry Sanders*\SandBa00,1997,29,1-3,DET,NFL,16,16,335,2053,6.13,11,128.3,50,33,305,9.24,3,19.1,66.0%,6.10
5,Terrell Davis*\DaviTe00,1998,26,6-196,DEN,NFL,16,16,392,2008,5.12,21,125.5,38,25,217,8.68,2,13.6,65.8%,5.71
6,Chris Johnson\JohnCh04,2009,24,1-24,TEN,NFL,16,16,358,2006,5.60,14,125.4,71,50,503,10.06,2,31.4,70.4%,7.08
7,O.J. Simpson*\SimpO.00,1973,26,1-1,BUF,NFL,14,14,332,2003,6.03,12,143.1,,6,70,11.67,0,5.0,,
8,Earl Campbell*\CampEa00,1980,25,1-1,HOU,NFL,15,15,373,1934,5.18,13,128.9,,11,47,4.27,0,3.1,,
9,Ahman Green\GreeAh00,2003,26,3-76,GNB,NFL,16,16,355,1883,5.30,15,117.7,60,50,367,7.34,5,22.9,83.3%,6.12
10,Barry Sanders*\SandBa00,1994,26,1-3,DET,NFL,16,16,331,1883,5.69,7,117.7,65,44,283,6.43,1,17.7,67.7%,4.35
11,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16,370,1880,5.08,27,117.5,29,15,78,5.20,1,4.9,51.7%,2.69
12,Jim Brown*\BrowJi00,1963,27,1-6,CLE,NFL,14,14,291,1863,6.40,12,133.1,,24,268,11.17,3,19.1,,
13,Tiki Barber\BarbTi00,2005,30,2-36,NYG,NFL,16,16,357,1860,5.21,9,116.3,70,54,530,9.81,2,33.1,77.1%,7.57
14,Ricky Williams\WillRi00,2002,25,1-5,MIA,NFL,16,16,383,1853,4.84,16,115.8,59,47,363,7.72,1,22.7,79.7%,6.15
15,Walter Payton*\PaytWa00,1977,23,1-4,CHI,NFL,14,14,339,1852,5.46,14,132.3,,27,269,9.96,2,19.2,,
16,Jamal Anderson\AndeJa00,1998,26,7-201,ATL,NFL,16,16,410,1846,4.50,14,115.4,46,27,319,11.81,2,19.9,58.7%,6.93
17,DeMarco Murray\MurrDe00,2014,26,3-71,DAL,NFL,16,16,392,1845,4.71,13,115.3,64,57,416,7.30,0,26.0,89.1%,6.50
18,Eric Dickerson*\DickEr00,1986,26,1-2,RAM,NFL,16,16,404,1821,4.51,11,113.8,,26,205,7.88,0,12.8,,
19,O.J. Simpson*\SimpO.00,1975,28,1-1,BUF,NFL,14,14,329,1817,5.52,16,129.8,,28,426,15.21,7,30.4,,
20,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16,348,1815,5.22,28,113.4,80,56,508,9.07,3,31.8,70.0%,6.35
21,Eric Dickerson*\DickEr00,1983,23,1-2,RAM,NFL,16,16,390,1808,4.64,18,113.0,,51,404,7.92,2,25.3,,
22,Larry Johnson\JohnLa00,2006,27,1-27,KAN,NFL,16,16,416,1789,4.30,17,111.8,66,41,410,10.00,2,25.6,62.1%,6.21
23,Emmitt Smith*\SmitEm00,1995,26,1-17,DAL,NFL,16,16,377,1773,4.70,25,110.8,78,62,375,6.05,0,23.4,79.5%,4.81
24,Adrian Peterson\PeteAd01,2008,23,1-7,MIN,NFL,16,15,363,1760,4.85,10,110.0,39,21,125,5.95,0,7.8,53.8%,3.21
25,Marcus Allen*\AlleMa00,1985,25,1-10,RAI,NFL,16,16,380,1759,4.63,11,109.9,,67,555,8.28,3,34.7,,
26,Terrell Davis*\DaviTe00,1997,25,6-196,DEN,NFL,15,15,369,1750,4.74,15,116.7,58,42,287,6.83,0,19.1,72.4%,4.95
27,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9,336,1750,5.21,20,109.4,49,33,343,10.39,1,21.4,67.3%,7.00
28,Gerald Riggs\RiggGe00,1985,25,1-9,ATL,NFL,16,16,397,1719,4.33,10,107.4,,33,267,8.09,0,16.7,,
29,Emmitt Smith*\SmitEm00,1992,23,1-17,DAL,NFL,16,16,373,1713,4.59,18,107.1,74,59,335,5.68,1,20.9,79.7%,4.53
30,Edgerrin James*\JameEd00,2000,22,1-4,IND,NFL,16,16,387,1709,4.42,13,106.8,87,63,594,9.43,5,37.1,72.4%,6.83
31,Michael Turner\TurnMi00,2008,26,5-154,ATL,NFL,16,16,376,1699,4.52,17,106.2,9,6,41,6.83,0,2.6,66.7%,4.56
32,Earl Campbell*\CampEa00,1979,24,1-1,HOU,NFL,16,16,368,1697,4.61,19,106.1,,16,94,5.88,0,5.9,,
