Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
2,David Akers\akersdav01,2011,37,,SFO,NFL,16,0,0,34,34,100.0,44,52,84.6,,,166
3,Gary Anderson\andergar02,1998,39,7-171,MIN,NFL,16,0,0,59,59,100.0,35,35,100.0,,,164
4,Jeff Wilkins\wilkijef01,2003,31,,STL,NFL,16,0,0,46,46,100.0,39,42,92.9,,,163
5,Mark Moseley\moselmar01,1983,35,14-346,WAS,NFL,16,0,0,62,63,98.4,33,47,70.2,,,161
6,Matt Bryant\bryanmat01,2016,41,,ATL,NFL,16,0,0,56,57,98.2,34,37,91.9,,,158
7,Stephen Gostkowski\GostSt20,2013,29,4-118,NWE,NFL,16,0,0,44,44,100.0,38,41,92.7,,,158
8,Greg Zuerlein\ZuerGr00,2017,30,6-171,LAR,NFL,14,0,0,44,46,95.7,38,40,95.0,,,158
9,Mike Vanderjagt\vandemik01,2003,33,,IND,NFL,16,0,0,46,46,100.0,37,37,100.0,,,157
10,Stephen Gostkowski\GostSt20,2017,33,4-118,NWE,NFL,16,0,0,45,47,95.7,37,40,92.5,,,156
11,Stephen Gostkowski\GostSt20,2014,30,4-118,NWE,NFL,16,0,0,51,51,100.0,35,37,94.6,,,156
12,Gino Cappelletti\CappGi00,1964,30,,BOS,AFL,14,,7,36,36,100.0,25,39,64.1,1,,155
13,Stephen Gostkowski\GostSt20,2012,28,4-118,NWE,NFL,16,0,0,66,66,100.0,29,35,82.9,,,153
14,Stephen Gostkowski\GostSt20,2015,31,4-118,NWE,NFL,16,0,0,52,52,100.0,33,36,91.7,,,151
