1D,4QC,ANY/A,AY/A,Age,Att,Cmp,Cmp%,G,GS,GWD,Int,Int%,Lng,NY/A,Player,Pos,QBR,QBrec,RUSH1D,RUSHAtt,RUSHFmb,RUSHLng,RUSHTD,RUSHY/A,RUSHY/G,RUSHYds,Rate,SKYds,Sk,Sk%,TD,TD%,Tm,Y/A,Y/C,Y/G,Yds,Year
161.0,1.0,8.19,8.9,22,401.0,265.0,66.1,15,15,2.0,6.0,1.5,83.0,7.13,Lamar Jackson,QB,81.1,13-2-0,,,,,,,,,113.3,106.0,23.0,5.4,36.0,9.0,BAL,7.8,11.8,208.5,3127.0,2019
262.0,2.0,8.89,9.6,23,580.0,383.0,66.0,16,16,2.0,12.0,2.1,89.0,8.13,Patrick Mahomes,QB,80.4,12-4-0,,,,,,,,,113.8,171.0,26.0,4.3,50.0,8.6,KAN,8.8,13.3,318.6,5097.0,2018
230.0,2.0,7.56,8.4,40,581.0,385.0,66.3,16,16,2.0,8.0,1.4,64.0,7.1,Tom Brady,QB,73.2,13-3-0,,,,,,,,,102.8,201.0,35.0,5.7,32.0,5.5,NWE,7.9,11.9,286.1,4577.0,2017
240.0,1.0,9.03,10.1,31,534.0,373.0,69.9,16,16,2.0,7.0,1.3,76.0,8.25,Matt Ryan,QB,79.4,11-5-0,,,,,,,,,117.1,235.0,37.0,6.5,38.0,7.1,ATL,9.3,13.3,309.0,4944.0,2016
195.0,3.0,7.2,8.3,26,495.0,296.0,59.8,16,16,4.0,10.0,2.0,74.0,6.73,Cam Newton,QB,67.0,15-1-0,,,,,,,,,99.4,284.0,33.0,6.3,35.0,7.1,CAR,7.8,13.0,239.8,3837.0,2015
221.0,1.0,8.65,9.5,31,520.0,341.0,65.6,16,16,1.0,5.0,1.0,80.0,7.68,Aaron Rodgers,QB,78.3,12-4-0,,,,,,,,,112.2,174.0,28.0,5.1,38.0,7.3,GNB,8.4,12.8,273.8,4381.0,2014
291.0,2.0,8.87,9.3,37,659.0,450.0,68.3,16,16,2.0,10.0,1.5,78.0,7.91,Peyton Manning,QB,80.9,13-3-0,,,,,,,,,115.1,120.0,18.0,2.7,55.0,8.3,DEN,8.3,12.2,342.3,5477.0,2013
209.0,0.0,9.39,10.5,28,502.0,343.0,68.3,15,15,1.0,6.0,1.2,93.0,8.22,Aaron Rodgers,QB,84.5,14-1-0,,,,,,,,,122.5,219.0,36.0,6.7,45.0,9.0,GNB,9.2,13.5,309.5,4643.0,2011
189.0,2.0,8.25,9.0,33,492.0,324.0,65.9,16,16,3.0,4.0,0.8,79.0,7.21,Tom Brady,QB,78.3,14-2-0,,,,,,,,,111.0,175.0,25.0,4.8,36.0,7.3,NWE,7.9,12.0,243.8,3900.0,2010
241.0,7.0,7.51,7.8,33,571.0,393.0,68.8,16,16,7.0,16.0,2.8,80.0,7.62,Peyton Manning,QB,81.3,14-2-0,,,,,,,,,99.9,74.0,10.0,1.7,33.0,5.8,IND,7.9,11.5,281.3,4500.0,2009
