,Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt,TotYds,TotTD,TotY/G,MVP
0,1,Eric Dickerson*\DickEr00,1984,24,1-2,RAM,NFL,16,16.0,379,2105,5.55,14,131.6,,21,139,6.62,0,8.7,,,2244,14,140.29999999999998,0
1,2,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16.0,348,2097,6.03,12,131.1,51.0,40,217,5.43,1,13.6,78.4%,4.25,2314,13,144.7,1
2,3,Jamal Lewis\LewiJa00,2003,24,1-5,BAL,NFL,16,16.0,387,2066,5.34,14,129.1,38.0,26,205,7.88,0,12.8,68.4%,5.39,2271,14,141.9,0
3,4,Barry Sanders*\SandBa00,1997,29,1-3,DET,NFL,16,16.0,335,2053,6.13,11,128.3,50.0,33,305,9.24,3,19.1,66.0%,6.1,2358,14,147.4,1
4,5,Terrell Davis*\DaviTe00,1998,26,6-196,DEN,NFL,16,16.0,392,2008,5.12,21,125.5,38.0,25,217,8.68,2,13.6,65.8%,5.71,2225,23,139.1,1
5,6,Chris Johnson\JohnCh04,2009,24,1-24,TEN,NFL,16,16.0,358,2006,5.6,14,125.4,71.0,50,503,10.06,2,31.4,70.4%,7.08,2509,16,156.8,0
6,7,O.J. Simpson*\SimpO.00,1973,26,1-1,BUF,NFL,14,14.0,332,2003,6.03,12,143.1,,6,70,11.67,0,5.0,,,2073,12,148.1,1
7,8,Earl Campbell*\CampEa00,1980,25,1-1,HOU,NFL,15,15.0,373,1934,5.18,13,128.9,,11,47,4.27,0,3.1,,,1981,13,132.0,0
8,9,Ahman Green\GreeAh00,2003,26,3-76,GNB,NFL,16,16.0,355,1883,5.3,15,117.7,60.0,50,367,7.34,5,22.9,83.3%,6.12,2250,20,140.6,0
9,10,Barry Sanders*\SandBa00,1994,26,1-3,DET,NFL,16,16.0,331,1883,5.69,7,117.7,65.0,44,283,6.43,1,17.7,67.7%,4.35,2166,8,135.4,0
10,11,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16.0,370,1880,5.08,27,117.5,29.0,15,78,5.2,1,4.9,51.7%,2.69,1958,28,122.4,1
11,12,Jim Brown*\BrowJi00,1963,27,1-6,CLE,NFL,14,14.0,291,1863,6.4,12,133.1,,24,268,11.17,3,19.1,,,2131,15,152.2,0
12,13,Tiki Barber\BarbTi00,2005,30,2-36,NYG,NFL,16,16.0,357,1860,5.21,9,116.3,70.0,54,530,9.81,2,33.1,77.1%,7.57,2390,11,149.4,0
13,14,Ricky Williams\WillRi00,2002,25,1-5,MIA,NFL,16,16.0,383,1853,4.84,16,115.8,59.0,47,363,7.72,1,22.7,79.7%,6.15,2216,17,138.5,0
14,15,Walter Payton*\PaytWa00,1977,23,1-4,CHI,NFL,14,14.0,339,1852,5.46,14,132.3,,27,269,9.96,2,19.2,,,2121,16,151.5,1
15,16,Jamal Anderson\AndeJa00,1998,26,7-201,ATL,NFL,16,16.0,410,1846,4.5,14,115.4,46.0,27,319,11.81,2,19.9,58.7%,6.93,2165,16,135.3,0
16,17,DeMarco Murray\MurrDe00,2014,26,3-71,DAL,NFL,16,16.0,392,1845,4.71,13,115.3,64.0,57,416,7.3,0,26.0,89.1%,6.5,2261,13,141.3,0
17,18,Eric Dickerson*\DickEr00,1986,26,1-2,RAM,NFL,16,16.0,404,1821,4.51,11,113.8,,26,205,7.88,0,12.8,,,2026,11,126.6,0
18,19,O.J. Simpson*\SimpO.00,1975,28,1-1,BUF,NFL,14,14.0,329,1817,5.52,16,129.8,,28,426,15.21,7,30.4,,,2243,23,160.20000000000002,0
19,20,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16.0,348,1815,5.22,28,113.4,80.0,56,508,9.07,3,31.8,70.0%,6.35,2323,31,145.20000000000002,1
20,21,Eric Dickerson*\DickEr00,1983,23,1-2,RAM,NFL,16,16.0,390,1808,4.64,18,113.0,,51,404,7.92,2,25.3,,,2212,20,138.3,0
21,22,Larry Johnson\JohnLa00,2006,27,1-27,KAN,NFL,16,16.0,416,1789,4.3,17,111.8,66.0,41,410,10.0,2,25.6,62.1%,6.21,2199,19,137.4,0
22,23,Emmitt Smith*\SmitEm00,1995,26,1-17,DAL,NFL,16,16.0,377,1773,4.7,25,110.8,78.0,62,375,6.05,0,23.4,79.5%,4.81,2148,25,134.2,0
23,24,Adrian Peterson\PeteAd01,2008,23,1-7,MIN,NFL,16,15.0,363,1760,4.85,10,110.0,39.0,21,125,5.95,0,7.8,53.8%,3.21,1885,10,117.8,0
24,25,Marcus Allen*\AlleMa00,1985,25,1-10,RAI,NFL,16,16.0,380,1759,4.63,11,109.9,,67,555,8.28,3,34.7,,,2314,14,144.60000000000002,1
25,26,Terrell Davis*\DaviTe00,1997,25,6-196,DEN,NFL,15,15.0,369,1750,4.74,15,116.7,58.0,42,287,6.83,0,19.1,72.4%,4.95,2037,15,135.8,0
26,27,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9.0,336,1750,5.21,20,109.4,49.0,33,343,10.39,1,21.4,67.3%,7.0,2093,21,130.8,0
27,28,Gerald Riggs\RiggGe00,1985,25,1-9,ATL,NFL,16,16.0,397,1719,4.33,10,107.4,,33,267,8.09,0,16.7,,,1986,10,124.10000000000001,0
28,29,Emmitt Smith*\SmitEm00,1992,23,1-17,DAL,NFL,16,16.0,373,1713,4.59,18,107.1,74.0,59,335,5.68,1,20.9,79.7%,4.53,2048,19,128.0,0
29,30,Edgerrin James*\JameEd00,2000,22,1-4,IND,NFL,16,16.0,387,1709,4.42,13,106.8,87.0,63,594,9.43,5,37.1,72.4%,6.83,2303,18,143.9,0
30,31,Michael Turner\TurnMi00,2008,26,5-154,ATL,NFL,16,16.0,376,1699,4.52,17,106.2,9.0,6,41,6.83,0,2.6,66.7%,4.56,1740,17,108.8,0
31,32,Earl Campbell*\CampEa00,1979,24,1-1,HOU,NFL,16,16.0,368,1697,4.61,19,106.1,,16,94,5.88,0,5.9,,,1791,19,112.0,1
32,33,Curtis Martin*\MartCu00,2004,31,3-74,NYJ,NFL,16,16.0,371,1697,4.57,12,106.1,49.0,41,245,5.98,2,15.3,83.7%,5.0,1942,14,121.39999999999999,0
33,34,Shaun Alexander\AlexSh00,2004,27,1-19,SEA,NFL,16,16.0,353,1696,4.8,16,106.0,38.0,23,170,7.39,4,10.6,60.5%,4.47,1866,20,116.6,0
34,35,Frank Gore\GoreFr00,2006,23,3-65,SFO,NFL,16,16.0,312,1695,5.43,8,105.9,86.0,61,485,7.95,1,30.3,70.9%,5.64,2180,9,136.20000000000002,0
35,36,Barry Foster\FostBa00,1992,24,5-128,PIT,NFL,16,15.0,390,1690,4.33,11,105.6,50.0,36,344,9.56,0,21.5,72.0%,6.88,2034,11,127.1,0
36,37,Walter Payton*\PaytWa00,1984,30,1-4,CHI,NFL,16,16.0,381,1684,4.42,11,105.3,,45,368,8.18,0,23.0,,,2052,11,128.3,0
37,38,LaDainian Tomlinson*\TomlLa00,2002,23,1-5,SDG,NFL,16,16.0,372,1683,4.52,14,105.2,101.0,79,489,6.19,1,30.6,78.2%,4.84,2172,15,135.8,0
38,39,George Rogers\RogeGe00,1981,23,1-1,NOR,NFL,16,16.0,378,1674,4.43,13,104.6,,16,126,7.88,0,7.9,,,1800,13,112.5,0
39,40,Jerome Bettis*\BettJe00,1997,25,1-10,PIT,NFL,15,15.0,375,1665,4.44,7,111.0,24.0,15,110,7.33,2,7.3,62.5%,4.58,1775,9,118.3,0
40,41,Tiki Barber\BarbTi00,2006,31,2-36,NYG,NFL,16,16.0,327,1662,5.08,5,103.9,75.0,58,465,8.02,0,29.1,77.3%,6.2,2127,5,133.0,0
41,42,Eric Dickerson*\DickEr00,1988,28,1-2,IND,NFL,16,16.0,388,1659,4.28,14,103.7,,36,377,10.47,1,23.6,,,2036,15,127.30000000000001,0
42,43,Tony Dorsett*\DorsTo00,1981,27,1-2,DAL,NFL,16,16.0,342,1646,4.81,4,102.9,,32,325,10.16,2,20.3,,,1971,6,123.2,0
43,44,LaDainian Tomlinson*\TomlLa00,2003,24,1-5,SDG,NFL,16,16.0,313,1645,5.26,13,102.8,137.0,100,725,7.25,4,45.3,73.0%,5.29,2370,17,148.1,0
44,45,Deuce McAllister\McAlDe00,2003,25,1-23,NOR,NFL,16,16.0,351,1641,4.68,8,102.6,87.0,69,516,7.48,0,32.3,79.3%,5.93,2157,8,134.89999999999998,0
45,46,Corey Dillon\DillCo00,2004,30,2-43,NWE,NFL,15,14.0,345,1635,4.74,12,109.0,21.0,15,103,6.87,1,6.9,71.4%,4.9,1738,13,115.9,0
46,47,Ezekiel Elliott\ElliEz00,2016,21,1-4,DAL,NFL,15,15.0,322,1631,5.07,15,108.7,39.0,32,363,11.34,1,24.2,82.1%,9.31,1994,16,132.9,0
47,48,Arian Foster\FostAr00,2010,24,,HOU,NFL,16,13.0,327,1616,4.94,16,101.0,84.0,66,604,9.15,2,37.8,78.6%,7.19,2220,18,138.8,0
48,49,Priest Holmes\HolmPr00,2002,29,,KAN,NFL,14,14.0,313,1615,5.16,21,115.4,81.0,70,672,9.6,3,48.0,86.4%,8.3,2287,24,163.4,0
49,50,Alfred Morris\MorrAl00,2012,24,6-173,WAS,NFL,16,16.0,335,1613,4.81,13,100.8,16.0,11,77,7.0,0,4.8,68.8%,4.81,1690,13,105.6,0
50,51,Walter Payton*\PaytWa00,1979,25,1-4,CHI,NFL,16,16.0,369,1610,4.36,14,100.6,,31,313,10.1,2,19.6,,,1923,16,120.19999999999999,0
51,52,LeSean McCoy\McCoLe01,2013,25,2-53,PHI,NFL,16,16.0,314,1607,5.12,9,100.4,64.0,52,539,10.37,2,33.7,81.3%,8.42,2146,11,134.10000000000002,0
52,53,Maurice Jones-Drew\DrewMa00,2011,26,2-60,JAX,NFL,16,16.0,343,1606,4.68,8,100.4,64.0,43,374,8.7,3,23.4,67.2%,5.84,1980,11,123.80000000000001,0
53,54,Ottis Anderson\AndeOt00,1979,22,1-8,STL,NFL,16,16.0,331,1605,4.85,8,100.3,,41,308,7.51,2,19.3,,,1913,10,119.6,0
54,55,Clinton Portis\PortCl00,2003,22,2-51,DEN,NFL,13,13.0,290,1591,5.49,14,122.4,51.0,38,314,8.26,0,24.2,74.5%,6.16,1905,14,146.6,0
55,56,Marshawn Lynch\LyncMa00,2012,26,1-12,SEA,NFL,16,15.0,315,1590,5.05,11,99.4,30.0,23,196,8.52,1,12.3,76.7%,6.53,1786,12,111.7,0
56,57,Fred Taylor\TaylFr00,2003,27,1-9,JAX,NFL,16,16.0,345,1572,4.56,6,98.3,74.0,48,370,7.71,1,23.1,64.9%,5.0,1942,7,121.4,0
57,58,Garrison Hearst\HearGa00,1998,27,1-3,SFO,NFL,16,16.0,310,1570,5.06,7,98.1,56.0,39,535,13.72,2,33.4,69.6%,9.55,2105,9,131.5,0
58,59,William Andrews\AndrWi00,1983,28,3-79,ATL,NFL,16,16.0,331,1567,4.73,7,97.9,,59,609,10.32,4,38.1,,,2176,11,136.0,0
59,60,Emmitt Smith*\SmitEm00,1991,22,1-17,DAL,NFL,16,16.0,365,1563,4.28,12,97.7,,49,258,5.27,1,16.1,,,1821,13,113.80000000000001,0
60,61,Priest Holmes\HolmPr00,2001,28,,KAN,NFL,16,16.0,327,1555,4.76,8,97.2,75.0,62,614,9.9,2,38.4,82.7%,8.19,2169,10,135.6,0
61,62,Edgerrin James*\JameEd00,1999,21,1-4,IND,NFL,16,16.0,369,1553,4.21,13,97.1,82.0,62,586,9.45,4,36.6,75.6%,7.15,2139,17,133.7,0
62,63,Barry Sanders*\SandBa00,1996,28,1-3,DET,NFL,16,16.0,307,1553,5.06,11,97.1,32.0,24,147,6.13,0,9.2,75.0%,4.59,1700,11,106.3,0
63,64,Walter Payton*\PaytWa00,1985,31,1-4,CHI,NFL,16,16.0,324,1551,4.79,9,96.9,,49,483,9.86,2,30.2,,,2034,11,127.10000000000001,0
64,65,Edgerrin James*\JameEd00,2004,26,1-4,IND,NFL,16,16.0,334,1548,4.63,9,96.8,60.0,51,483,9.47,0,30.2,85.0%,8.05,2031,9,127.0,0
65,66,Barry Sanders*\SandBa00,1991,23,1-3,DET,NFL,15,15.0,342,1548,4.53,16,103.2,,41,307,7.49,1,20.5,,,1855,17,123.7,0
66,67,Chris Warren\WarrCh00,1994,26,4-89,SEA,NFL,16,15.0,333,1545,4.64,9,96.6,61.0,41,323,7.88,2,20.2,67.2%,5.3,1868,11,116.8,0
67,68,Jim Brown*\BrowJi00,1965,29,1-6,CLE,NFL,14,14.0,289,1544,5.34,17,110.3,,34,328,9.65,4,23.4,,,1872,21,133.7,1
68,69,James Wilder\WildJa00,1984,26,2-34,TAM,NFL,16,16.0,407,1544,3.79,13,96.5,,85,685,8.06,0,42.8,,,2229,13,139.3,0
