Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Emmitt Smith*\SmitEm00,1993,24,1-17,DAL,NFL,14,13,283,1486,5.25,9,106.1,65,57,414,7.26,1,29.6,87.7%,6.37
2,Jerome Bettis*\BettJe00,1993,21,1-10,RAM,NFL,16,12,294,1429,4.86,7,89.3,34,26,244,9.38,0,15.3,76.5%,7.18
3,Thurman Thomas*\ThomTh00,1993,27,2-40,BUF,NFL,16,16,355,1315,3.70,6,82.2,71,48,387,8.06,0,24.2,67.6%,5.45
4,Erric Pegram\PegrEr00,1993,24,6-145,ATL,NFL,16,14,292,1185,4.06,3,74.1,42,33,302,9.15,0,18.9,78.6%,7.19
5,Barry Sanders*\SandBa00,1993,25,1-3,DET,NFL,11,11,243,1115,4.59,3,101.4,48,36,205,5.69,0,18.6,75.0%,4.27
6,Leonard Russell\RussLe00,1993,24,1-14,NWE,NFL,16,15,300,1088,3.63,7,68.0,37,26,245,9.42,0,15.3,70.3%,6.62
7,Rodney Hampton\HampRo00,1993,24,1-24,NYG,NFL,12,10,292,1077,3.69,5,89.8,23,18,210,11.67,0,17.5,78.3%,9.13
8,Chris Warren\WarrCh00,1993,25,4-89,SEA,NFL,14,14,273,1072,3.93,7,76.6,21,15,99,6.60,0,7.1,71.4%,4.71
9,Reggie Brooks\BrooRe00,1993,22,2-45,WAS,NFL,16,11,223,1063,4.77,3,66.4,35,21,186,8.86,0,11.6,60.0%,5.31
10,Ronald Moore\MoorRo01,1993,23,4-87,PHO,NFL,16,11,263,1018,3.87,9,63.6,7,3,16,5.33,0,1.0,42.9%,2.29
11,Gary Brown\BrowGa00,1993,24,8-214,HOU,NFL,16,8,195,1002,5.14,6,62.6,30,21,240,11.43,2,15.0,70.0%,8.00
12,Ricky Watters\WattRi00,1993,24,2-45,SFO,NFL,13,13,208,950,4.57,10,73.1,45,31,326,10.52,1,25.1,68.9%,7.24
13,Johnny Johnson\JohnJo00,1993,25,7-169,NYJ,NFL,15,9,198,821,4.15,3,54.7,83,67,641,9.57,1,42.7,80.7%,7.72
14,Rod Bernstine\BernRo00,1993,28,1-24,DEN,NFL,15,14,223,816,3.66,4,54.4,61,44,372,8.45,0,24.8,72.1%,6.10
15,Marcus Allen*\AlleMa00,1993,33,1-10,KAN,NFL,16,10,206,764,3.71,12,47.8,46,34,238,7.00,3,14.9,73.9%,5.17
16,Leroy Thompson\ThomLe00,1993,24,6-158,PIT,NFL,15,6,205,763,3.72,3,50.9,46,38,259,6.82,0,17.3,82.6%,5.63
17,Marion Butts\ButtMa00,1993,27,7-183,SDG,NFL,16,16,185,746,4.03,4,46.6,24,15,105,7.00,0,6.6,62.5%,4.38
18,Herschel Walker\WalkHe00,1993,31,5-114,PHI,NFL,16,16,174,746,4.29,1,46.6,91,75,610,8.13,3,38.1,82.4%,6.70
19,Barry Foster\FostBa00,1993,25,5-128,PIT,NFL,9,9,177,711,4.02,8,79.0,34,27,217,8.04,1,24.1,79.4%,6.38
20,Roosevelt Potts\PottRo00,1993,22,2-49,IND,NFL,16,15,179,711,3.97,0,44.4,34,26,189,7.27,0,11.8,76.5%,5.56
21,Derek Brown\BrowDe01,1993,22,4-109,NOR,NFL,13,12,180,705,3.92,2,54.2,32,21,170,8.10,1,13.1,65.6%,5.31
22,Mark Higgs\HiggMa00,1993,27,8-205,MIA,NFL,16,8,186,693,3.73,3,43.3,12,10,72,7.20,0,4.5,83.3%,6.00
23,Reggie Cobb\CobbRe00,1993,25,2-30,TAM,NFL,12,10,221,658,2.98,3,54.8,14,9,61,6.78,1,5.1,64.3%,4.36
24,Darrell Thompson\ThomDa01,1993,26,1-19,GNB,NFL,16,11,169,654,3.87,3,40.9,29,18,129,7.17,0,8.1,62.1%,4.45
25,Neal Anderson\AndeNe00,1993,29,1-27,CHI,NFL,15,11,202,646,3.20,4,43.1,48,31,160,5.16,0,10.7,64.6%,3.33
26,Natrone Means\MeanNa00,1993,21,2-41,SDG,NFL,16,0,160,645,4.03,8,40.3,18,10,59,5.90,0,3.7,55.6%,3.28
27,Tommy Vardell\VardTo00,1993,24,1-9,CLE,NFL,16,12,171,644,3.77,3,40.3,23,19,151,7.95,1,9.4,82.6%,6.57
28,Eric Metcalf\MetcEr00,1993,25,1-13,CLE,NFL,16,9,129,611,4.74,1,38.2,84,63,539,8.56,2,33.7,75.0%,6.42
29,Greg Robinson\RobiGr00,1993,24,8-208,RAI,NFL,12,12,156,591,3.79,1,49.3,21,15,142,9.47,0,11.8,71.4%,6.76
30,Harold Green\GreeHa00,1993,25,2-38,CIN,NFL,15,15,215,589,2.74,0,39.3,31,22,115,5.23,0,7.7,71.0%,3.71
