Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS▼,Att.,Made,Miss,Pct.
1,Nikita Kucherov\kucheni01,25,TBL,RW,82,45,0.50,1.06,1.56,0.55,0.76,3.00,41,87,128,46,155,60,71,1,24,71.5,62.9,8.6,12.3,2.3,14.6,7,4,3,57.1
2,Connor McDavid\mcdavco01,22,EDM,C,78,43,0.53,0.96,1.49,0.55,0.26,3.08,41,75,116,43,142,42,107,10,3,73.7,71.7,2.1,10.8,2.1,13.0,4,2,2,50.0
3,Leon Draisaitl\draisle01,23,EDM,C,82,42,0.61,0.67,1.28,0.51,0.63,2.82,51,55,106,43,141,44,109,14,2,69.1,71.0,-1.8,10.4,2.2,12.6,4,1,3,25.0
4,Mark Giordano\giordma01,35,CGY,D,78,24,0.22,0.73,0.95,0.31,0.88,2.83,17,57,74,25,144,41,90,26,39,71.3,54.4,16.9,6.7,5.9,12.6,0,,,
5,Carey Price\priceca01,31,MTL,G,66,0,0.00,0.02,0.02,0.00,0.03,0.00,0,1,1,0,186,23,161,29,0,152.9,133.3,,0.0,0.0,12.5,0,,,
6,Frederik Andersen\anderfr01,29,TOR,G,60,0,0.00,0.02,0.02,0.00,0.03,0.00,0,1,1,0,212,36,162,33,0,141.3,141.2,,0.0,0.0,12.5,0,,,
7,Andrei Vasilevskiy\vasilan02,24,TBL,G,53,1,0.00,0.06,0.06,0.02,0.11,0.00,0,3,3,1,197,45,128,24,0,118.0,115.4,,0.0,0.0,12.4,0,,,
8,Connor Hellebuyck\helleco01,25,WPG,G,63,1,0.00,0.05,0.05,0.01,0.06,0.00,0,3,3,1,198,47,179,40,0,124.0,131.3,,0.0,0.0,12.1,0,,,
9,Brent Burns\burnsbr01,33,SJS,D/RW,82,26,0.20,0.82,1.01,0.32,0.41,3.66,16,67,83,27,142,39,106,16,13,80.6,71.2,9.3,7.3,4.7,12.0,0,,,
10,Darcy Kuemper\kuempda01,28,ARI,G,55,1,0.00,0.04,0.04,0.01,0.25,0.00,0,2,2,1,135,28,126,20,0,108.3,116.1,,0.0,0.0,12.0,0,,,
11,Patrick Kane\kanepa01,30,CHI,RW,81,41,0.54,0.81,1.36,0.51,0.27,4.21,45,66,111,43,142,42,98,0,2,68.6,83.3,-14.7,10.2,1.6,11.8,4,2,2,50.0
12,Nathan MacKinnon\mackina01,23,COL,C,82,38,0.50,0.71,1.21,0.47,0.41,4.45,41,58,99,38,141,51,73,2,20,77.9,67.4,10.5,9.1,2.7,11.8,4,1,3,25.0
13,Brad Marchand\marchbr03,30,BOS,LW,79,37,0.46,0.81,1.27,0.46,1.22,2.92,36,64,100,37,134,52,79,12,15,56.0,52.7,3.3,9.2,2.5,11.7,5,1,4,20.0
14,Morgan Rielly\riellmo01,24,TOR,D,82,25,0.24,0.63,0.88,0.31,0.17,2.72,20,52,72,25,149,33,100,8,24,90.8,83.0,7.8,7.0,4.7,11.7,0,,,
15,John Gibson\gibsojo02,25,ANA,G,58,0,0.00,0.00,0.00,0.00,0.03,0.00,0,0,0,0,133,22,153,37,0,103.2,137.8,,0.0,0.0,11.6,0,,,
16,Steven Stamkos\stamkst01,28,TBL,C,82,39,0.55,0.65,1.20,0.47,0.45,2.85,46,53,99,40,132,61,68,2,4,53.0,51.7,1.3,10.1,1.4,11.5,3,2,1,66.7
17,Brayden Point\pointbr01,22,TBL,C,79,36,0.52,0.65,1.16,0.45,0.35,2.42,41,51,92,36,140,60,53,0,27,66.6,60.1,6.5,9.1,2.3,11.4,6,0,6,0.0
18,Sidney Crosby\crosbsi01,31,PIT,C,79,37,0.44,0.82,1.27,0.46,0.46,2.78,35,65,100,37,139,43,83,5,18,71.1,52.6,18.5,8.9,2.4,11.4,5,1,4,20.0
19,John Tavares\tavarjo01,28,TOR,C,82,37,0.57,0.50,1.07,0.45,0.41,3.49,48,41,89,37,133,34,84,4,19,81.8,66.2,15.6,9.3,2.0,11.3,2,0,2,0.0
20,Devan Dubnyk\dubnyde01,32,MIN,G,67,1,0.00,0.03,0.03,0.01,0.03,0.00,0,2,2,1,168,40,162,28,0,128.2,117.6,,0.0,0.0,11.1,0,,,
21,Jacob Markstrom\marksja02,29,VAN,G,60,1,0.00,0.05,0.05,0.01,0.03,0.00,0,3,3,1,168,34,165,30,0,115.6,136.0,,0.0,0.0,11.1,0,,,
22,Alex Ovechkin\ovechal01,33,WSH,LW,81,37,0.63,0.47,1.10,0.46,0.49,4.17,52,38,90,39,138,47,85,0,7,57.3,67.1,-9.8,9.2,1.8,11.0,4,2,2,50.0
23,Johnny Gaudreau\gaudrjo01,25,CGY,LW,82,36,0.44,0.77,1.21,0.44,0.29,2.99,36,63,99,37,130,42,72,1,18,71.4,57.5,13.9,8.8,2.1,10.9,2,0,2,0.0
24,Ben Bishop\bishobe01,32,DAL,G,46,1,0.00,0.04,0.04,0.01,0.04,0.00,0,2,2,1,123,33,87,17,0,98.4,90.8,,0.0,0.0,10.8,0,,,
25,John Carlson\carlsjo01,29,WSH,D,80,22,0.16,0.71,0.88,0.28,0.43,2.31,13,57,70,23,155,46,111,22,21,66.7,70.6,-3.9,5.8,4.7,10.5,1,0,1,0.0
26,Matt Murray\murrama02,24,PIT,G,50,0,0.00,0.00,0.00,0.00,0.08,0.00,0,0,0,0,159,39,129,28,0,112.0,104.6,,0.0,0.0,10.4,0,,,
27,Sergei Bobrovsky\bobrose01,30,CBJ,G,62,0,0.00,0.00,0.00,0.00,0.03,0.00,0,0,0,0,184,22,152,18,0,142.5,138.9,,0.0,0.0,10.4,0,,,
28,Marc-Andre Fleury\fleurma01,34,VEG,G,61,1,0.00,0.03,0.03,0.01,0.07,0.00,0,2,2,1,182,32,152,30,0,148.5,124.4,,0.0,0.0,10.3,0,,,
29,David Pastrnak\pastrda01,22,BOS,RW,66,32,0.58,0.65,1.23,0.48,0.48,3.56,38,43,81,32,108,45,59,2,6,47.4,41.4,6.0,8.4,1.7,10.2,3,0,3,0.0
30,Braden Holtby\holtbbr01,29,WSH,G,59,1,0.00,0.03,0.03,0.01,0.03,0.00,0,2,2,1,189,37,160,40,0,114.8,131.1,,0.0,0.0,10.2,0,,,
31,Robin Lehner\lehnero01,27,NYI,G,46,0,0.00,0.02,0.02,0.01,0.00,0.00,0,1,1,0,127,19,93,20,0,100.6,96.9,,0.0,0.0,10.2,0,,,
32,Patrice Bergeron\bergepa01,33,BOS,C,65,30,0.49,0.72,1.22,0.46,0.46,3.15,32,47,79,30,114,44,61,14,23,38.9,34.1,4.7,7.7,2.3,10.1,2,0,2,0.0
33,Pekka Rinne\rinnepe01,36,NSH,G,56,0,0.00,0.00,0.00,0.00,0.07,0.00,0,0,0,0,139,23,129,29,0,122.5,116.6,,0.0,0.0,10.1,0,,,
34,Aleksander Barkov\barkoal01,23,FLA,C,82,35,0.43,0.74,1.17,0.43,0.10,2.51,35,61,96,36,144,55,115,23,-3,63.3,64.6,-1.3,7.9,2.1,10.0,10,3,7,30.0
35,Roman Josi\josiro01,28,NSH,D,82,20,0.18,0.50,0.68,0.24,0.51,3.34,15,41,56,19,103,17,98,22,9,75.0,69.8,5.2,4.7,5.2,9.9,0,,,
